run_id,variant,rep,cost_usd_total,score_total,completed
run-msdl3747,naive-append,rep-1,4.8726,84.85,true
exp-prefix-append-r1-msdwtm88,prefix-append,rep-1,3.7288,83.97,true
exp-off-append-r1-msdx7stz,off-append,rep-1,9.5385,93.5,true
exp-full-append-r1-msdxt42y,full-append,rep-1,2.0668,84.72,true
exp-fullvol-append-r1-msdycj6r,fullvol-append,rep-1,4.1787,83.91,true
exp-prefix-droptools-r1-msdzrk85,prefix-droptools,rep-1,4.0312,90,true
exp-full-droptools-r1-mse0cb4k,full-droptools,rep-1,3.5344,87.8,true
exp-prefix-compact-r1-mse0tuzk,prefix-compact,rep-1,4.4003,79.41,true
exp-full-compact-r1-mse1nznc,full-compact,rep-1,2.3515,84.2,true
exp-full-append-fetchcap-r1-mse27q2h,full-append-fetchcap,rep-1,2.3017,84.04,true
exp-off-append-r1-mse2ui7b,t-compliance:off-append,rep-1,23.5024,87.54,true
exp-full-append-r1-mse3smke,t-compliance:full-append,rep-1,3.0106,80.04,true
exp-naive-append-r1-mse4h16h,t-compliance:naive-append,rep-1,7.5933,83.19,true
exp-fullvol-append-r1-mse57zi3,t-compliance:fullvol-append,rep-1,10.1539,76,true
exp-prefix-append-r1-mse5xw2k,t-compliance:prefix-append,rep-1,5.7864,88.67,true
exp-full-window-r1-mse714vf,t-compliance:full-window,rep-1,3.9809,76,true
exp-naive-append-r2-mse7rbcc,naive-append,rep-2,5.0659,88.5,true
exp-full-append-r2-mse8ci79,full-append,rep-2,1.9349,89.11,true
exp-prefix-append-r2-msesup7s,prefix-append,rep-2,3.7797,84.67,true
exp-fullvol-append-r3-msetv0z7,fullvol-append,rep-3,4.8739,83,true
exp-full-droptools-r3-mseuoh3v,full-droptools,rep-3,3.793,94,true
exp-full-compact-r3-msev8xjf,full-compact,rep-3,1.8228,86.42,true
exp-prefix-droptools-r2-msevsab8,prefix-droptools,rep-2,4.7429,85.56,true
exp-full-append-fetchcap8k-r1-msewnjs4,full-append-fetchcap8k,rep-1,2.1913,90.21,true
exp-full-droptools2-r1-msex7m8i,full-droptools2,rep-1,1.6163,88.2,true
exp-naive-append-r3-msexpfbm,naive-append,rep-3,4.3485,88.13,true
exp-prefix-append-r3-msf39qd4,prefix-append,rep-3,3.1981,84.21,true
exp-off-append-r2-msf3sr8c,off-append,rep-2,6.9184,84.18,true
exp-fullvol-append-r4-msf4az9f,fullvol-append,rep-4,4.8737,79.76,true
exp-full-droptools-r4-msf4vqj3,full-droptools,rep-4,4.2223,89.57,true
exp-full-compact-r4-msf5fmre,full-compact,rep-4,1.8194,85.76,true
exp-prefix-droptools-r3-msf5zptg,prefix-droptools,rep-3,2.5871,78.1,true
exp-full-append-fetchcap8k-r2-msf6ioyb,full-append-fetchcap8k,rep-2,1.5807,84.5,true
exp-full-droptools2-r2-msf707qx,full-droptools2,rep-2,1.9867,89.2,true
exp-full-append-fetchcap8k-r3-msf7wvyk,full-append-fetchcap8k,rep-3,1.4844,84.22,true
exp-full-droptools2-r3-msf8dbm9,full-droptools2,rep-3,1.9839,82.8,true
exp-full-append-r4-msf8x7sr,full-append,rep-4,1.4719,79.88,true
exp-off-append-r4-msf9f2a3,off-append,rep-4,7.2876,88.08,true
exp-live-append-r4-msfg42u9,live-append,rep-4,1.7825,,true
exp-live-append-r6-msfktq2e,live-append,rep-6,1.9304,,true
