variant,uncached_input,cache_write,cache_read,output,search_fees,summarizer
off-append,6.9762,0.0000,0.0000,0.7486,0.1900,0.0000
naive-append,1.9037,1.6257,0.3397,0.7799,0.1133,0.0000
prefix-append,1.6734,0.6792,0.3081,0.7414,0.1667,0.0000
fullvol-append,0.0004,3.1329,0.4546,0.8509,0.2033,0.0000
full-append,0.0004,0.4346,0.5866,0.6664,0.1367,0.0000
prefix-droptools,1.6993,0.7897,0.3310,0.7971,0.1700,0.0000
prefix-compact,1.7634,1.0422,0.3867,1.0481,0.1600,0.4341
full-droptools,0.0004,2.5519,0.4409,0.6768,0.1800,0.0000
full-compact,0.1158,0.5016,0.4521,0.7717,0.1567,0.2154
full-append-fetchcap,0.0004,0.4916,0.7408,0.8689,0.2000,0.0000
full-append-fetchcap8k,0.0003,0.4131,0.5836,0.6185,0.1367,0.0000
full-droptools2,0.0003,0.4444,0.5608,0.7101,0.1467,0.0000
live-append,0.0003,0.4346,0.5749,0.7107,0.1367,0.0000
live-append-effort-low,0.0002,0.2354,0.1946,0.2845,0.1100,0.0000
live-append-sonnet,0.0001,0.2534,0.1376,0.1741,0.0400,0.0000
live-append-sonnet-effort-low,0.0000,0.1309,0.0457,0.0921,0.0233,0.0000
live-droptools,0.0004,2.5504,0.5017,0.7108,0.1600,0.0000
live-droptools2,0.0005,0.4785,0.8253,0.7794,0.1667,0.0000
live-compact,0.0993,0.4376,0.4702,0.7244,0.2000,0.1740
live-append-fetchcap8k,0.0005,0.5028,0.8414,0.7867,0.1633,0.0000
t-compliance:full-append,0.0004,0.6119,0.8733,1.2651,0.2600,0.0000
t-compliance:full-window,0.0003,2.2543,0.3401,1.1862,0.2000,0.0000
t-compliance:fullvol-append,0.0003,7.9701,0.4242,1.4193,0.3400,0.0000
t-compliance:live-append,0.0003,0.5118,0.5667,0.8431,0.2300,0.0000
t-compliance:live-append-effort-low,0.0001,0.2073,0.1122,0.3066,0.0933,0.0000
t-compliance:live-append-fetchcap8k,0.0003,0.5511,0.6546,0.8962,0.2000,0.0000
t-compliance:live-append-sonnet,0.0002,0.3231,0.3448,0.3648,0.1033,0.0000
t-compliance:live-append-sonnet-effort-low,0.0001,0.2596,0.1164,0.1929,0.0600,0.0000
t-compliance:live-compact,0.1643,0.8221,0.4820,1.2068,0.2133,0.3640
t-compliance:live-droptools,0.0003,2.5483,0.4070,0.9883,0.1933,0.0000
t-compliance:live-droptools2,0.0128,0.5184,0.6360,0.9609,0.1967,0.0000
t-compliance:naive-append,3.0597,2.5733,0.3950,1.1918,0.2767,0.0000
t-compliance:off-append,14.3916,0.0000,0.0000,1.2635,0.2733,0.0000
t-compliance:prefix-append,2.8072,1.1462,0.5485,1.0945,0.1900,0.0000
