cell,n,quality_mean,quality_min,quality_max,quality_spread,cost_mean,model,effort,noise_floor,vs_baseline,differs_from_baseline,vs_fix1,differs_from_fix1,render
t-compliance-full-append,1,-6.0,-6.0,-6.0,0.0,3.0106,claude-opus-5,high,3.46,-6.0,,-1.5,False,within-noise
t-compliance-full-window,1,-6.0,-6.0,-6.0,0.0,3.9809,claude-opus-5,high,3.46,-6.0,,-1.5,False,within-noise
t-compliance-fullvol-append,1,-4.0,-4.0,-4.0,0.0,10.1539,claude-opus-5,high,3.46,-4.0,,0.5,False,within-noise
t-compliance-live-append,3,-4.5,-7.0,-3.0,4.0,2.1519,claude-opus-5,high,3.46,-4.5,,0.0,False,within-noise
t-compliance-live-append-effort-low,3,-6.33,-7.0,-6.0,1.0,0.7195,claude-opus-5,low,3.46,-6.33,,-1.83,False,within-noise
t-compliance-live-append-fetchcap8k,3,-5.33,-6.5,-3.5,3.0,2.3022,claude-opus-5,high,3.46,-5.33,,-0.83,False,within-noise
t-compliance-live-append-sonnet,3,-7.0,-7.5,-6.5,1.0,1.1362,claude-sonnet-5,high,3.46,-7.0,,-2.5,False,within-noise
t-compliance-live-append-sonnet-effort-low,2,-6.75,-7.0,-6.5,0.5,0.6173,claude-sonnet-5,low,3.46,-6.75,,-2.25,False,within-noise
t-compliance-live-compact,3,-4.67,-5.5,-3.5,2.0,2.8887,claude-opus-5,high,3.46,-4.67,,-0.17,False,within-noise
t-compliance-live-droptools,3,-3.28,-6.0,-1.33,4.67,4.1373,claude-opus-5,high,3.46,-3.28,,1.22,False,within-noise
t-compliance-live-droptools2,3,-5.83,-6.0,-5.5,0.5,2.3248,claude-opus-5,high,3.46,-5.83,,-1.33,False,within-noise
t-compliance-naive-append,3,-3.67,-6.0,0.0,6.0,7.4965,claude-opus-5,high,3.46,-3.67,,0.83,False,within-noise
t-compliance-off-append,3,-2.5,-7.0,2.0,9.0,15.9283,claude-opus-5,high,3.46,-2.5,,2.0,False,within-noise
t-compliance-prefix-append,1,1.5,1.5,1.5,0.0,5.7864,claude-opus-5,high,3.46,1.5,,6.0,True,number
