run,quality_index,q_state_coverage,q_required_fields,q_launch_decision,q_grounding,density_vs_baseline,dim_flips,unusable_dims,calls,cost_usd,model,effort
t-compliance-off-append/rep-12,2.0,2.0,1.0,0.0,-1.0,-1.5,0,0,2,14.4657,claude-opus-5,high
t-compliance-prefix-append/rep-1,1.5,1.0,0.0,-0.25,0.75,1.25,1,0,4,5.7864,claude-opus-5,high
t-compliance-naive-append/rep-11,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,9.333,claude-opus-5,high
t-compliance-live-droptools/rep-21,-1.33,1.0,-1.6666666666666667,0.3333333333333333,-1.0,1.0,0,0,3,4.2637,claude-opus-5,high
t-compliance-live-droptools/rep-23,-2.5,-1.5,-1.0,1.0,-1.0,-1.0,0,0,2,5.5179,claude-opus-5,high
t-compliance-off-append/rep-1,-2.5,-1.0,-1.5,0.0,0.0,1.0,2,0,2,23.5024,claude-opus-5,high
t-compliance-live-append/rep-11,-3.0,-2.0,-1.0,1.0,-1.0,1.0,0,0,2,2.5306,claude-opus-5,high
t-compliance-live-append-fetchcap8k/rep-22,-3.5,-1.0,-1.5,-0.5,-0.5,1.0,0,0,2,2.6192,claude-opus-5,high
t-compliance-live-append/rep-13,-3.5,-1.5,-2.0,1.0,-1.0,1.0,0,0,2,2.0583,claude-opus-5,high
t-compliance-live-compact/rep-21,-3.5,-1.5,-1.0,0.0,-1.0,1.0,1,0,2,3.0096,claude-opus-5,high
t-compliance-fullvol-append/rep-1,-4.0,-2.0,-1.5,-0.5,0.0,-2.0,1,0,2,10.1539,claude-opus-5,high
t-compliance-live-compact/rep-22,-5.0,-2.0,-2.0,0.0,-1.0,1.0,0,0,2,2.8787,claude-opus-5,high
t-compliance-naive-append/rep-1,-5.0,-2.0,-1.5,-0.5,-1.0,1.0,0,1,2,7.5933,claude-opus-5,high
t-compliance-live-compact/rep-23,-5.5,-1.0,-2.0,-1.0,-1.5,-1.0,0,0,2,2.7778,claude-opus-5,high
t-compliance-live-droptools2/rep-21,-5.5,-2.0,-2.0,-0.75,-0.75,1.0,0,0,4,1.5991,claude-opus-5,high
t-compliance-full-append/rep-1,-6.0,-2.0,-2.0,-1.0,-1.0,-1.0,0,0,2,3.0106,claude-opus-5,high
t-compliance-full-window/rep-1,-6.0,-2.0,-2.0,-0.5,-1.5,1.0,0,0,2,3.9809,claude-opus-5,high
t-compliance-live-append-effort-low/rep-11,-6.0,-2.0,-2.0,-1.0,-1.0,1.0,0,0,2,0.674,claude-opus-5,low
t-compliance-live-append-effort-low/rep-13,-6.0,-2.0,-2.0,-1.0,-1.0,0.0,1,0,2,0.7845,claude-opus-5,low
t-compliance-live-append-fetchcap8k/rep-21,-6.0,-2.0,-2.0,-1.0,-1.0,1.0,0,0,2,1.7751,claude-opus-5,high
t-compliance-live-droptools2/rep-22,-6.0,-2.0,-2.0,-1.0,-1.0,-1.0,0,0,2,2.4874,claude-opus-5,high
t-compliance-live-droptools2/rep-23,-6.0,-2.0,-2.0,-1.0,-1.0,1.0,0,0,2,2.888,claude-opus-5,high
t-compliance-live-droptools/rep-22,-6.0,-2.0,-2.0,-1.0,-1.0,1.0,0,0,2,2.6303,claude-opus-5,high
t-compliance-naive-append/rep-12,-6.0,-2.0,-2.0,-1.0,-1.0,-1.0,0,0,2,5.5633,claude-opus-5,high
t-compliance-live-append-fetchcap8k/rep-23,-6.5,-2.0,-2.0,-1.0,-1.5,1.0,0,0,2,2.5124,claude-opus-5,high
t-compliance-live-append-sonnet-effort-low/rep-12,-6.5,-2.0,-2.0,-1.0,-1.5,-1.0,0,0,2,0.6146,claude-sonnet-5,low
t-compliance-live-append-sonnet/rep-13,-6.5,-2.0,-2.0,-1.0,-1.5,0.0,1,0,2,1.2299,claude-sonnet-5,high
t-compliance-live-append-effort-low/rep-12,-7.0,-2.0,-2.0,-1.0,-2.0,0.0,1,0,2,0.7001,claude-opus-5,low
t-compliance-live-append-sonnet-effort-low/rep-11,-7.0,-2.0,-2.0,-1.5,-1.5,-1.0,0,0,2,0.6199,claude-sonnet-5,low
t-compliance-live-append-sonnet/rep-12,-7.0,-2.0,-2.0,-1.0,-2.0,1.0,0,0,2,1.0177,claude-sonnet-5,high
t-compliance-live-append/rep-12,-7.0,-2.0,-2.0,-1.0,-2.0,1.0,0,0,2,1.8668,claude-opus-5,high
t-compliance-off-append/rep-11,-7.0,-2.0,-2.0,-1.0,-2.0,1.0,0,0,2,9.8169,claude-opus-5,high
t-compliance-live-append-sonnet/rep-11,-7.5,-2.0,-2.0,-1.5,-2.0,-1.0,0,0,2,1.161,claude-sonnet-5,high
