cell,n,quality_mean,quality_min,quality_max,quality_spread,cost_mean,model,effort,noise_floor,vs_baseline,differs_from_baseline,vs_fix1,differs_from_fix1,render
full-append,3,3.67,0.0,6.5,6.5,1.8245,claude-opus-5,high,3.83,3.67,False,1.5,False,within-noise
full-append-fetchcap,1,2.0,2.0,2.0,0.0,2.3017,claude-opus-5,high,3.83,2.0,False,-0.17,False,within-noise
full-append-fetchcap8k,3,2.33,1.5,3.5,2.0,1.7521,claude-opus-5,high,3.83,2.33,False,0.16,False,within-noise
full-compact,3,1.83,-4.0,5.0,9.0,1.9979,claude-opus-5,high,3.83,1.83,False,-0.34,False,within-noise
full-droptools,3,4.17,3.0,5.0,2.0,3.8499,claude-opus-5,high,3.83,4.17,True,2.0,False,number
full-droptools2,3,3.17,2.5,3.5,1.0,1.8623,claude-opus-5,high,3.83,3.17,False,1.0,False,within-noise
fullvol-append,3,2.08,-0.75,5.5,6.25,4.6421,claude-opus-5,high,3.83,2.08,False,-0.09,False,within-noise
live-append,3,2.17,-2.0,4.5,6.5,1.8571,claude-opus-5,high,3.83,2.17,False,0.0,False,within-noise
live-append-effort-low,3,-2.58,-5.5,-0.25,5.25,0.8246,claude-opus-5,low,3.83,-2.58,False,-4.75,True,number
live-append-fetchcap8k,3,2.75,1.25,3.5,2.25,2.2946,claude-opus-5,high,3.83,2.75,False,0.58,False,within-noise
live-append-sonnet,3,-4.67,-6.0,-4.0,2.0,0.6052,claude-sonnet-5,high,3.83,-4.67,True,-6.84,True,number
live-append-sonnet-effort-low,3,-7.17,-7.5,-7.0,0.5,0.2921,claude-sonnet-5,low,3.83,-7.17,True,-9.34,True,number
live-compact,1,-2.0,-2.0,-2.0,0.0,1.9316,claude-opus-5,high,3.83,-2.0,False,-4.17,True,number
live-droptools,3,1.33,-1.5,3.5,5.0,3.9233,claude-opus-5,high,3.83,1.33,False,-0.84,False,within-noise
live-droptools2,3,2.5,1.0,4.5,3.5,2.2504,claude-opus-5,high,3.83,2.5,False,0.33,False,within-noise
naive-append,2,1.0,0.0,2.0,2.0,4.7072,claude-opus-5,high,3.83,1.0,False,-1.17,False,within-noise
off-append,3,2.92,1.25,4.0,2.75,7.9148,claude-opus-5,high,3.83,2.92,False,0.75,False,within-noise
prefix-append,3,1.67,-0.5,4.0,4.5,3.5689,claude-opus-5,high,3.83,1.67,False,-0.5,False,within-noise
prefix-compact,1,0.25,0.25,0.25,0.0,4.4003,claude-opus-5,high,3.83,0.25,False,-1.92,False,within-noise
prefix-droptools,3,1.08,-0.25,2.0,2.25,3.7871,claude-opus-5,high,3.83,1.08,False,-1.09,False,within-noise
