run,quality_index,q_local_options,q_four_week_plan,q_decision,q_grounding,density_vs_baseline,dim_flips,unusable_dims,calls,cost_usd,model,effort
full-append/rep-1,6.5,2.0,1.5,1.0,2.0,1.0,0,0,2,2.0668,claude-opus-5,high
fullvol-append/rep-1,5.5,2.0,1.0,0.5,2.0,1.0,0,0,2,4.1787,claude-opus-5,high
full-compact/rep-4,5.0,2.0,1.0,0.0,2.0,1.0,0,0,2,1.8194,claude-opus-5,high
full-droptools/rep-4,5.0,2.0,1.5,-0.5,2.0,2.0,0,0,2,4.2223,claude-opus-5,high
full-append/rep-2,4.5,1.5,1.0,0.0,2.0,1.0,0,0,2,1.9349,claude-opus-5,high
full-compact/rep-3,4.5,1.5,1.0,0.0,2.0,2.0,0,0,2,1.8228,claude-opus-5,high
full-droptools/rep-3,4.5,2.0,1.0,-0.5,2.0,1.0,0,0,2,3.793,claude-opus-5,high
live-append/rep-6,4.5,1.5,1.0,0.0,2.0,1.0,0,0,2,1.9304,claude-opus-5,high
live-droptools2/rep-22,4.5,2.0,0.0,0.5,2.0,1.5,1,0,2,2.1576,claude-opus-5,high
live-append/rep-7,4.0,2.0,-1.0,1.0,2.0,2.0,0,0,2,1.8585,claude-opus-5,high
off-append/rep-4,4.0,2.0,0.0,0.0,2.0,1.0,1,0,2,7.2876,claude-opus-5,high
prefix-append/rep-1,4.0,0.0,1.0,1.0,2.0,1.0,1,0,2,3.7288,claude-opus-5,high
full-append-fetchcap8k/rep-1,3.5,2.0,-1.0,0.5,2.0,1.0,0,0,2,2.1913,claude-opus-5,high
full-droptools2/rep-2,3.5,2.0,-1.5,1.0,2.0,1.5,0,0,2,1.9867,claude-opus-5,high
full-droptools2/rep-3,3.5,2.0,-1.0,0.5,2.0,1.0,0,0,2,1.9839,claude-opus-5,high
live-append-fetchcap8k/rep-22,3.5,1.5,-1.0,1.0,2.0,1.0,0,0,2,2.1879,claude-opus-5,high
live-append-fetchcap8k/rep-23,3.5,1.5,1.0,0.0,1.0,2.0,0,0,2,2.731,claude-opus-5,high
live-droptools/rep-22,3.5,1.0,0.0,0.5,2.0,1.0,1,0,2,3.3855,claude-opus-5,high
off-append/rep-1,3.5,2.0,-1.0,0.5,2.0,1.5,0,0,2,9.5385,claude-opus-5,high
full-droptools/rep-1,3.0,1.5,0.0,0.0,1.5,1.5,1,0,2,3.5344,claude-opus-5,high
full-droptools2/rep-1,2.5,2.0,-2.0,0.5,2.0,1.0,0,0,2,1.6163,claude-opus-5,high
full-append-fetchcap8k/rep-2,2.0,1.0,-1.0,0.0,2.0,1.5,0,0,2,1.5807,claude-opus-5,high
full-append-fetchcap/rep-1,2.0,1.0,-1.0,0.0,2.0,0.0,1,0,2,2.3017,claude-opus-5,high
live-droptools2/rep-21,2.0,1.0,-1.5,0.5,2.0,2.0,0,0,2,2.3711,claude-opus-5,high
live-droptools/rep-23,2.0,2.0,-1.0,0.0,1.0,1.0,0,0,2,5.3912,claude-opus-5,high
naive-append/rep-3,2.0,1.0,-2.0,1.0,2.0,1.5,0,0,2,4.3485,claude-opus-5,high
prefix-droptools/rep-1,2.0,-1.0,1.0,0.0,2.0,-1.0,0,0,2,4.0312,claude-opus-5,high
full-append-fetchcap8k/rep-3,1.5,2.0,-2.0,0.0,1.5,1.5,0,0,2,1.4844,claude-opus-5,high
