run_id,variant,rep,task_id,order_index,model,effort,observed_model,narrative_status,started_at,status,stop_reason,score_total,score_A,score_B,score_C,contested_items,judge_agreement_pct,cost_usd_total,cost_source,cost_reconciles,cost_recovered_usd,usage_lines,usage_error_lines,cost_models,cost_unpriced_models,cost_usd_runtime,cost_uncached_input,cost_cache_write,cost_cache_read,cost_output,cost_search_fees,summarizer_cost_usd,tokens_uncached_input,tokens_cache_write,tokens_cache_read,tokens_output,api_calls,summarizer_calls,turns,searches,dup_search_pct,fetches,wasted_fetch_pct,cited_sources,cited_unfetched_ratio,subtasks_created,recreated_subtasks,update_task_noops,re_research_events,abandoned_subtasks,extracted_claims,human_subtasks,report_chars,wallclock_s,completed,prefix_clean_append,prefix_cache_busting,cache_hit_call1,seed_check_ok
run-msdl3747,naive-append,rep-1,t-dog,1,claude-opus-5,high,claude-opus-5,headline,2026-08-03T18:49:56.936Z,ok,end_turn,84.85,60,7.85,17,,100,4.8726,usage.jsonl,true,0,16,0,claude-opus-5,,4.8726,1.874,1.7515,0.282,0.8551,0.11,0,374807,280236,563955,34204,16,0,16,11,0.09090909090909094,12,0.25,18,0.6666666666666666,,0,1,0,0,11,10,20216,610,true,,,,
exp-prefix-append-r1-msdwtm88,prefix-append,rep-1,t-dog,2,claude-opus-5,high,claude-opus-5,deleted-halfmove,2026-08-04T00:18:25.352Z,ok,end_turn,83.97,60,3.97,20,,100,3.7288,usage.jsonl,true,0,13,0,claude-opus-5,,3.7288,1.8178,0.641,0.2456,0.8544,0.17,0,363560,102559,491188,34175,13,0,13,17,0,4,0.25,25,0.92,16,0,0,0,0,9,4,16242,578,true,0,0,false,true
exp-off-append-r1-msdx7stz,off-append,rep-1,t-dog,3,claude-opus-5,high,claude-opus-5,headline,2026-08-04T00:29:27.095Z,ok,end_turn,93.5,60,16.5,17,,100,9.5385,usage.jsonl,true,0,15,0,claude-opus-5,,9.5385,8.4813,0,0,0.8772,0.18,0,1696258,0,0,35088,15,0,15,18,0,13,0.15384615384615385,16,0.4375,17,0,0,0,0,11,4,13025,674,true,0,0,false,true
exp-full-append-r1-msdxt42y,full-append,rep-1,t-dog,4,claude-opus-5,high,claude-opus-5,superseded,2026-08-04T00:46:01.450Z,ok,end_turn,84.72,60,7.72,17,,100,2.0668,usage.jsonl,true,0,15,0,claude-opus-5,,2.0668,0.0004,0.4694,0.6849,0.7722,0.14,0,78,75097,1369838,30886,15,0,15,14,0,11,0.18181818181818177,22,0.7272727272727273,15,0,0,0,0,13,5,17261,586,true,14,0,false,true
exp-fullvol-append-r1-msdycj6r,fullvol-append,rep-1,t-dog,5,claude-opus-5,high,claude-opus-5,deleted-trap,2026-08-04T01:01:07.491Z,ok,end_turn,83.91,56,10.91,17,B2,95,4.1787,usage.jsonl,true,0,11,0,claude-opus-5,,4.1787,0.0003,2.8221,0.3594,0.7769,0.22,0,62,451541,718760,31075,11,0,11,22,0,16,0.25,22,0.6818181818181818,7,0,0,0,0,19,4,18177,694,true,0,10,false,true
exp-prefix-window-r1-msdyy9n5,prefix-window,rep-1,t-dog,6,claude-opus-5,high,claude-opus-5,excluded-lineage,2026-08-04T01:18:01.553Z,error,,,,,,,,1.5078,usage.jsonl,true,0,6,0,claude-opus-5,,1.5078,0.0095,0.7045,0.3269,0.3068,0.16,0,1904,112722,653873,12273,7,0,,16,,15,,,,6,,,,1,,,,291,false,0,0,false,true
exp-full-window-r1-msdzbddo,full-window,rep-1,t-dog,7,claude-opus-5,high,claude-opus-5,excluded-lineage,2026-08-04T01:28:12.924Z,error,,,,,,,,1.8901,usage.jsonl,true,0,7,0,claude-opus-5,,1.8901,0.0004,0.7483,0.5343,0.4472,0.16,0,82,119729,1068515,17886,8,0,,16,,24,,,,10,,,,1,,,,435,false,4,3,false,true
exp-prefix-droptools-r1-msdzrk85,prefix-droptools,rep-1,t-dog,8,claude-opus-5,high,claude-opus-5,deleted-halfmove,2026-08-04T01:40:48.293Z,ok,end_turn,90,60,13,17,"B2,B3",90,4.0312,usage.jsonl,true,0,12,0,claude-opus-5,,4.0312,1.7178,0.8234,0.5098,0.8601,0.12,0,343564,131744,1019688,34404,12,0,12,12,0,13,0,20,0.5,16,0,2,0,1,5,9,16509,648,true,0,0,false,true
exp-full-droptools-r1-mse0cb4k,full-droptools,rep-1,t-dog,9,claude-opus-5,high,claude-opus-5,superseded,2026-08-04T01:56:56.276Z,ok,end_turn,87.8,56,11.8,20,"B2,B3",90,3.5344,usage.jsonl,true,0,9,0,claude-opus-5,,3.5344,0.0003,2.3516,0.4093,0.6332,0.14,0,66,376260,818532,25329,9,0,9,14,0,15,0.2666666666666667,20,0.65,10,0,1,0,1,13,7,11849,498,true,2,6,false,true
exp-prefix-compact-r1-mse0tuzk,prefix-compact,rep-1,t-dog,10,claude-opus-5,high,claude-opus-5,deleted-halfmove,2026-08-04T02:10:35.168Z,ok,end_turn,79.41,60,2.41,17,,100,4.4003,usage.jsonl,true,0,20,0,claude-opus-5,,4.4003,1.7634,1.0422,0.3867,1.0481,0.16,0.4341,352674,166751,773466,41922,17,3,17,16,0,11,0.18181818181818177,17,0.8235294117647058,15,0,0,0,0,6,2,12685,1085,true,0,0,false,true
