variant,dup_search_pct,wasted_fetch_pct,cited_unfetched_ratio,re_research_events,recreated_subtasks,update_task_noops,abandoned_subtasks,extracted_claims
off-append,0,0.2191,0.6216,0,0,0,0,13.6667
naive-append,0.1044,0.1892,0.5029,0,0,0.3333,0,13
prefix-append,0,0.2897,0.7511,0,0,0,0,10
fullvol-append,0.0133,0.3512,0.6625,0,0.3333,0.3333,0,15.3333
full-append,0.0256,0.1393,0.5702,0,0,0,0,11.3333
prefix-droptools,0,0.1373,0.6392,0,0,0.6667,1,8
prefix-compact,0,0.1818,0.8235,0,0,0,0,6
full-droptools,0.0341,0.2567,0.3595,0,0,0.6667,1,12
full-compact,0.0509,0.35,0.7005,0,0,0,0,7
full-append-fetchcap,0,0.2143,0.7097,0,0,0,0,15
full-append-fetchcap8k,0.0733,0.2786,0.6027,0,0,0,0,9.3333
full-droptools2,0.0159,0.2571,0.5939,0,0,0,0,13.6667
live-append,,,,,,,0,
live-append-effort-low,,,,,,,0,
live-append-sonnet,,,,,,,0,
live-append-sonnet-effort-low,,,,,,,0,
live-droptools,,,,,,,1.3333,
live-droptools2,,,,,,,0,
live-compact,,,,,,,0,
live-append-fetchcap8k,,,,,,,0,
t-compliance:full-append,0.0385,0.3333,0.9565,0,0,10,0,26
t-compliance:full-window,0,0,1,0,0,0,7,24
t-compliance:fullvol-append,0.0294,0,1,0,0,0,2,57
t-compliance:live-append,,,,,,,1,
t-compliance:live-append-effort-low,,,,,,,1.3333,
t-compliance:live-append-fetchcap8k,,,,,,,0,
t-compliance:live-append-sonnet,,,,,,,0,
t-compliance:live-append-sonnet-effort-low,,,,,,,0,
t-compliance:live-compact,,,,,,,3.6667,
t-compliance:live-droptools,,,,,,,5.6667,
t-compliance:live-droptools2,,,,,,,0,
t-compliance:naive-append,0,0,0.9762,0,0,0,2.3333,37
t-compliance:off-append,0,0.1667,0.7429,0,0,0,0.3333,47
t-compliance:prefix-append,0.0526,0,0.8333,0,0,0,0,72
